cdl_uuid,cdl_frequency,cdl_effective_date,cdl_run_identifier,customer_id,customer_type,customer_name,customer_address,city,state,zip,phone,fax,email,customer_status,metropolitan_statistical_area_name,blocked_account,phs,party_group_code,party_group_description,party_type_code,party_type_description,party_subtype_code,party_subtype_description,party_service_code,party_service_description,br_segment,br_sub_segment,channel_name,market_normalized_name,brand_normalized_name,form_strength_normalized_name,normalized_name,competitor_flag,year,semester_number,quarter_number,month_number,week_number,transaction_timestamp,ddd_source_units,ddd_source_units_uom,ddd_units,ddd_units_uom,ddd_dollars,ddd_dot,ddd_mcg,ddd_normalized_units,ddd_normalized_units_uom,chargeback_source_units,chargeback_source_units_uom,chargeback_units,chargeback_units_uom,chargeback_dollars,chargeback_dot,chargeback_mcg,chargeback_normalized_units,chargeback_normalized_units_uom,self_reported_source_units,self_reported_source_units_uom,self_reported_units,self_reported_units_uom,self_reported_dollars,self_reported_dot,self_reported_mcg,self_reported_normalized_units,self_reported_normalized_units_uom,integrated_units,integrated_dollars,integrated_dot,integrated_mcg,integrated_normalized_units,867_source_units,867_source_units_uom,867_units,867_units_uom,867_dollars,867_dot,867_mcg,867_normalized_units,867_normalized_units_uom,phs_units,phs_dollars,phs_dot,phs_mcg,phs_normalized_units
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 140 PRE-FILLED PEN,REPATHA 140 PRE-FILLED PEN,FALSE,2019,1,1,2,8,2019-03-01T00:00:00.0000000,0,,0,,0,0,0,0,,3,,6,,3351.48,84,0,6,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 140 PRE-FILLED PEN,REPATHA 140 PRE-FILLED PEN,FALSE,2016,2,4,10,41,2016-10-14T00:00:00.0000000,0,,0,,0,0,0,0,,6,,12,,6507.72,168,0,12,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 140 PRE-FILLED PEN,REPATHA 140 PRE-FILLED PEN,FALSE,2017,1,1,2,6,2017-02-10T00:00:00.0000000,0,,0,,0,0,0,0,,2,,4,,2234.32,56,0,4,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 420/3.5 ON-BODY INJECTOR,REPATHA 420/3.5 ON-BODY INJECTOR,FALSE,2017,1,2,6,26,2017-06-30T00:00:00.0000000,0,,0,,0,0,0,0,,2,,2,,2420.5,210,0,4.334,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 140 PRE-FILLED PEN,REPATHA 140 PRE-FILLED PEN,FALSE,2016,2,4,11,46,2016-11-18T00:00:00.0000000,0,,0,,0,0,0,0,,2,,4,,2169.24,56,0,4,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 140 PRE-FILLED PEN,REPATHA 140 PRE-FILLED PEN,FALSE,2016,2,3,9,38,2016-09-23T00:00:00.0000000,0,,0,,0,0,0,0,,5,,10,,5423.1,140,0,10,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 140 PRE-FILLED PEN,REPATHA 140 PRE-FILLED PEN,FALSE,2016,2,3,9,36,2016-09-09T00:00:00.0000000,0,,0,,0,0,0,0,,3,,6,,3253.86,84,0,6,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 140 PRE-FILLED PEN,REPATHA 140 PRE-FILLED PEN,FALSE,2018,2,4,11,46,2018-11-16T00:00:00.0000000,0,,0,,0,0,0,0,,4,,8,,4468.64,112,0,8,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 140 PRE-FILLED PEN,REPATHA 140 PRE-FILLED PEN,FALSE,2018,2,3,8,33,2018-08-17T00:00:00.0000000,0,,0,,0,0,0,0,,4,,8,,4468.64,112,0,8,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
d9b079d0ce364eae,weekly,2019-11-08T00:00:00.0000000,3,1003800,ACCOUNT,WALGREENS PHARMACY 11599,2461 5TH ST N,COLUMBUS,MS,39705,662-327-0079,6623285007,,A,MS NONMETROPOLITAN AREA,,,HCO,HEALTH CARE ORGANIZATION,PHAR,PHARMACY,RTLPHARM,RETAIL PHARMACY,UNSPEC,UNSPECIFIED,Retail,Retail Pharmacy,NON RETAIL,BAI HYPERLIPIDEMIA,REPATHA,REPATHA 140 PRE-FILLED PEN,REPATHA 140 PRE-FILLED PEN,FALSE,2019,1,1,2,7,2019-02-22T00:00:00.0000000,0,,0,,0,0,0,0,,5,,10,,5585.8,140,0,10,,0,,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,0,0,0,0
